"Name","AltName","OrigName","County1","County2","County3","State","Established","Continuous","Discontinued","StampIndex","ID","OrigCounty","GNIS.Name","GNIS.County","GNIS.State","GNIS.FEATURE_ID","GNIS.Feature.Class","GNIS.OrigName","GNIS.OrigCounty","GNIS.Latitude","GNIS.Longitude","GNIS.ELEV_IN_M","GNIS.ELEV_IN_FT","GNIS.Match","GNIS.Dist"
"BLACK WARRIOR",NA,"BLACK WARRIOR","TUSCALOOSA",NA,NA,"AL","1818",TRUE,"1822","8",5174,"Tuscaloosa","BLACK WARRIOR","TUSCALOOSA","AL","153742","Populated Place","Black Warrior Town","Tuscaloosa","33.2098407","-87.5691735","69","226",TRUE,NA
"DERBY",NA,"DERBY","DELAWARE",NA,NA,"PA","1809",TRUE,"1812","7",15075,"Delaware","DERBY","DELAWARE","PA","1172927","Populated Place","Derby Town","Delaware","39.9184461","-75.2590721","15","49",TRUE,NA
"JIM",NA,"JIM","CLARK",NA,NA,"MO","1877",TRUE,"1884","6",29414,"Clark","JIM","CLARK","MO","731710","Populated Place","Jim Town","Clark","40.4547597","-91.8882265","208","682",TRUE,NA
"OXFORD",NA,"OXFORD","ADAMS",NA,NA,"PA","1805",TRUE,"1828","7",43386,"Adams","OXFORD","ADAMS","PA","1182353","Populated Place","Oxford Town","Adams","39.8637087","-77.0558143","171","561",TRUE,NA
"BRUCE",NA,"BRUCE","FREDERICK",NA,NA,"VA","1889",TRUE,"1890","5",71154,"Frederick","BRUCE","FREDERICK","VA","1495313","Populated Place","Bruce Town","Frederick","39.2545467","-78.0666659","182","597",TRUE,NA
"HENSLEY",NA,"HENSLEY","JOHNSON",NA,NA,"IN","1832",FALSE,"1850","9",88528,"Johnson","HENSLEY","JOHNSON","IN","444851","Populated Place","Hensley Town","Johnson","39.4161604","-86.150823","252","827",TRUE,NA
"NEW",NA,"NEW","RICHMOND",NA,NA,"NC","1904",TRUE,"1912","4",101794,"Richmond","NEW","RICHMOND","NC","1021639","Populated Place","New Town","Richmond","34.8768222","-79.6950559","85","279",TRUE,NA
"POPLAR",NA,"POPLAR","WORCESTER",NA,NA,"MD","1883",FALSE,"1884","6",107256,"Worcester","POPLAR","WORCESTER","MD","590540","Populated Place","Poplar Town","Worcester","38.2840049","-75.2310234","10","33",TRUE,NA
"SHELTON",NA,"SHELTON","SURRY",NA,NA,"NC","1892",TRUE,"1903","6",113061,"Surry","SHELTON","SURRY","NC","1022593","Populated Place","Shelton Town","Surry","36.4934685","-80.556173","375","1230",TRUE,NA
"KICKAPOO STATION","KICKAPOO","KICKAPOO STATION","POTTAWATOMIE",NA,NA,"OK","1876",TRUE,"1879","8",144133,"Pottawatomie","KICKAPOO","POTTAWATOMIE","OK","1091392","Populated Place","Kickapoo Town","Pottawatomie","35.3764576","-97.0008579","338","1109",TRUE,NA
"AFTON",NA,"AFTON","FULTON",NA,NA,"AR","1883",FALSE,"1912","4",363,"Fulton","AFTON","FULTON","AR","66571","Civil","Township of Afton","Fulton","36.3803147","-91.5098185","141","463",TRUE,NA
"ALSACE",NA,"ALSACE","BERKS",NA,NA,"PA","1863",TRUE,"1899","4",952,"Berks","ALSACE","BERKS","PA","1215913","Civil","Township of Alsace","Berks","40.3852922","-75.8597527","230","755",TRUE,NA
"ANDREW",NA,"ANDREW","ANDREW",NA,NA,"MO","1864",TRUE,"1868","8",1275,"Andrew","ANDREW","ANDREW","MO","758456","Civil","Andrew County","Andrew","39.9835108","-94.8020599","299","981",TRUE,NA
"ARMENIA",NA,"ARMENIA","BRADFORD",NA,NA,"PA","1884",TRUE,"1887","7",1746,"Bradford","ARMENIA","BRADFORD","PA","1215972","Civil","Township of Armenia","Bradford","41.7381162","-76.86383","657","2155",TRUE,NA
"AYR",NA,"AYR","FULTON",NA,NA,"PA","1888",TRUE,"1900","5",2481,"Fulton","AYR","FULTON","PA","1216474","Civil","Township of Ayr","Fulton","39.8772842","-78.0269272","236","774",TRUE,NA
"BACON",NA,"BACON","VERNON",NA,NA,"MO","1881",TRUE,"1882","6",2530,"Vernon","BACON","VERNON","MO","767478","Civil","Township of Bacon","Vernon","37.9887181","-94.1187948","245","804",TRUE,NA
"BALD EAGLE",NA,"BALD EAGLE","CLINTON",NA,NA,"PA","1827",TRUE,"1839","7",2691,"Clinton","BALD EAGLE","CLINTON","PA","1216253","Civil","Township of Bald Eagle","Clinton","41.1438372","-77.5513222","505","1657",TRUE,NA
"BARRY",NA,"BARRY","SCHUYLKILL",NA,NA,"PA","1839",FALSE,"1905","4",3157,"Schuylkill","BARRY","SCHUYLKILL","PA","1216991","Civil","Township of Barry","Schuylkill","40.71355","-76.4117358","272","892",TRUE,NA
